Unnamed: 0,Name,Parliament
11,Frederik Bernard s' Jacob,1899-1902
12,Melchert de Jong,1899-1902
13,Herman Jacob Kist,1899-1902
14,Dirk Laan,1899-1902
15,Hendrik van Lier,1899-1902
16,Albertus van Naamen van Eemnes,1899-1902
17,Hermanus Adrianus Nebbens Sterling,1899-1902
18,Frederik Salomon van Nierop,1899-1902
19,Anthony Ewoud Jan Nysingh,1899-1902
20,Cornelis Pijnacker Hordijk,1899-1902
21,Eduard Nicolaas Rahusen,1899-1902
22,Joan Röell,1899-1902
23,Jan Willem Hendrik Rutgers van Rozenburg,1899-1902
24,Jan Hendrik Frans Karel van Swinderen,1899-1902
25,Sjoerd Anne Vening Meinesz,1899-1902
26,Theodorus Pieter Viruly,1899-1902
27,Benjamin Marius Vlielander Hein,1899-1902
28,Wilco Julius van Welderen Rengers,1899-1902
29,Derk Knol Welt,1899-1902
30,Jacob Willem van den Biesen,1899-1902
31,Willem Cornelis Johannes Josephus Cremers,1899-1902
32,Petrus van der Does de Willebois,1899-1902
33,Léon Armand Hyacinthe Magnée,1899-1902
34,Willem Merkelbach,1899-1902
35,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1899-1902
36,Leo van Nispen,1899-1902
37,Willem Prinzen Fzn.,1899-1902
38,Willem Hubert Pyls,1899-1902
39,Frederic Joseph Maria Anton Reekers,1899-1902
40,Hubert Gérard Louis Regout,1899-1902
41,Alphonsus Maria Sassen,1899-1902
42,Stephanus Martinus van Wijck,1899-1902
43,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1899-1902
44,Willem Gerard Brantsen van de Zijp,1899-1902
45,Karel Antonie Godin de Beaufort,1899-1902
46,Jan Elias Nicolaas Schimmelpenninck van der Oye,1899-1902
47,Titus van Asch van Wijck,1899-1902
48,Robert Melvil van Lynden,1899-1902
49,Willem Constantijn van Pallandt van Waardenburg,1899-1902
