,Name,Parliament
57,Willem Prinzen Fzn. vanaf 27 november 1890,1890-1893
58,Emilius Henricus Josephus Maria van Zinnicq Bergmann vanaf 10 augustus 1892,1890-1893
59,Alphonsus Maria Sassen vanaf 7 november 1892,1890-1893
60,Frans Godard van Lynden van Hemmen van 22 december 1890 tot 15 mei 1892,1890-1893
61,Alexander Frederik de Savornin Lohman vanaf 15 juni 1892,1890-1893
0,Willem Carel Antoon Alberda van Ekenstein,1893-1896
1,Frederik Herman Pieter van Alphen,1893-1896
2,Albert Jan Blijdenstein tot 23 oktober 1895,1893-1896
3,Jan Breebaart Kzn.,1893-1896
4,Jacobus van der Breggen Azn. tot 4 maart 1894,1893-1896
5,Doede Doedes Breuning,1893-1896
6,Herman Frederik Bultman,1893-1896
7,Hendrikus Albertus Diedericus Coenen,1893-1896
8,Eppo Cremers,1893-1896
9,Frans Julius Johan van Eysinga tot 7 juni 1894,1893-1896
10,Eduard Fokker,1893-1896
11,Isaäc Dignus Fransen van de Putte,1893-1896
12,Jan van Gennep tot 15 mei 1894,1893-1896
13,Melchert de Jong,1893-1896
14,Herman Jacob Kist,1893-1896
15,Hendrik van Lier,1893-1896
16,Hendrik Muller Szn.,1893-1896
17,Albertus van Naamen van Eemnes,1893-1896
18,Hermanus Adrianus Nebbens Sterling,1893-1896
19,Anthony Ewoud Jan Nysingh,1893-1896
20,Adrianus Prins,1893-1896
21,Jan Prins tot 21 januari 1896,1893-1896
22,Eduard Nicolaas Rahusen,1893-1896
23,Berend van Roijen tot 23 november 1893,1893-1896
24,Charles Theodorus Stork tot 4 juni 1895,1893-1896
25,Jan Hendrik Frans Karel van Swinderen,1893-1896
26,Sjoerd Vening Meinesz,1893-1896
27,Theodorus Pieter Viruly,1893-1896
28,Benjamin Marius Vlielander Hein,1893-1896
29,Wilco Julius van Welderen Rengers,1893-1896
30,Derk Knol Welt,1893-1896
31,Abraham Carel Wertheim,1893-1896
32,Willem Cornelis Johannes Josephus Cremers,1893-1896
33,Léon Armand Hyacinthe Magnée,1893-1896
34,Willem Merkelbach,1893-1896
35,Leo van Nispen,1893-1896
36,Franciscus Xaverius Jacobus van Nispen tot Pannerden,1893-1896
37,Willem Prinzen Fzn.,1893-1896
38,Willem Hubert Pyls,1893-1896
39,Hubert Gérard Louis Regout,1893-1896
40,Alphonsus Maria Sassen,1893-1896
41,Petrus Johannes Antonius Smitz,1893-1896
42,Johannes Baptista Arnoldus Josephus Maria Verheyen,1893-1896
43,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1893-1896
44,Derck Engelberts,1893-1896
45,Robert Melvil van Lynden,1893-1896
46,Alexander Frederik de Savornin Lohman tot 1 februari 1894,1893-1896
47,Willem Constantijn van Pallandt van Waardenburg,1893-1896
48,Menso Johannes Pijnappel tot 30 april 1894,1893-1896
49,Karel Antonie Godin de Beaufort,1893-1896
50,Johan Herman Geertsema Czn. vanaf 29 januari 1894,1893-1896
51,Cornelis Pijnacker Hordijk vanaf 16 mei 1894,1893-1896
52,Gijsbert van Tienhoven vanaf 7 juni 1894,1893-1896
53,Rembt Tobias Hugo Pieter Liebrecht Alexander van Boneval Faure vanaf 5 juli 1894,1893-1896
54,Willem Adriaan Bergsma vanaf 18 september 1894,1893-1896
55,Hendrik Rudolph van Marle vanaf 11 juli 1895,1893-1896
56,Gerrit Jan van Heek vanaf 28 november 1895,1893-1896
57,Maurits Cornelis van Hall vanaf 13 april 1896,1893-1896
58,Jan Elias Nicolaas Schimmelpenninck van der Oye vanaf 16 mei 1894,1893-1896
0,Willem Carel Antoon Alberda van Ekenstein,1896-1899
1,Frederik Herman Pieter van Alphen,1896-1899
2,Willem Adriaan Bergsma,1896-1899
3,Rembt Tobias Hugo Pieter Liebrecht Alexander van Boneval Faure,1896-1899
4,Jan Breebaart Kzn.,1896-1899
5,Herman Frederik Bultman,1896-1899
6,Eppo Cremers tot 26 oktober 1896,1896-1899
7,Hendrik Fennema,1896-1899
8,Isaäc Dignus Fransen van de Putte,1896-1899
9,Johan Herman Geertsema Czn.,1896-1899
10,Maurits Cornelis van Hall,1896-1899
11,Gerrit Jan van Heek,1896-1899
12,Melchert de Jong,1896-1899
13,Herman Jacob Kist,1896-1899
14,Hendrik van Lier,1896-1899
15,Hendrik Rudolph van Marle,1896-1899
16,Hendrik Muller Szn. tot 14 augustus 1898,1896-1899
17,Albertus van Naamen van Eemnes,1896-1899
