,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
2121,Amsterdam,algemeen,1891-06-09,KD72,,H. Muller,1870,1891-06-09,22531,119264,42,24,0.015679500939093,0,9,0.057536222162597,0.073123490743225,0.041856721223504,,,,,,,,
2123,Amsterdam,algemeen,1891-06-09,KD72,,P. Str�ter,1377,1891-06-09,22531,119264,42,26,0.011545814327878,0,9,0.057536222162597,0.073123490743225,0.04599040783472,,,,,,,,
2124,Amsterdam,algemeen,1891-06-09,KD72,,P.J. Raaymakers,1340,1891-06-09,22531,119264,42,27,0.01123557821304,0,9,0.057536222162597,0.073123490743225,0.046300643949557,,,,,,,,
2127,Amsterdam,algemeen,1891-06-09,KD72,,J.H. Fahrensbach,1233,1891-06-09,22531,119264,42,30,0.010338408907969,0,9,0.057536222162597,0.073123490743225,0.047197813254628,,,,,,,,
2131,Amsterdam,algemeen,1891-06-09,KD72,,W. Koch,1130,1891-06-09,22531,119264,42,34,0.00947477864234,0,9,0.057536222162597,0.073123490743225,0.048061443520258,,,,,,,,
2132,Amsterdam,algemeen,1891-06-09,KD72,,J. Weelink,1052,1891-06-09,22531,119264,42,35,0.008820767373222,0,9,0.057536222162597,0.073123490743225,0.048715454789375,,,,,,,,
2135,Amsterdam,algemeen,1891-06-09,KD72,,F. van der Goes,504,1891-06-09,22531,119264,42,38,0.004225918969681,0,9,0.057536222162597,0.073123490743225,0.053310303192917,,,,,,,,
2136,Amsterdam,algemeen,1891-06-09,KD72,,J.A. Fortuyn,436,1891-06-09,22531,119264,42,39,0.003655755299168,0,9,0.057536222162597,0.073123490743225,0.053880466863429,,,,,,,,
2137,Amsterdam,algemeen,1891-06-09,KD72,,A. Rot,414,1891-06-09,22531,119264,42,40,0.003471290582238,0,9,0.057536222162597,0.073123490743225,0.05406493158036,,,,,,,,
2138,Amsterdam,algemeen,1891-06-09,KD72,,A. van Emmenes,314,1891-06-09,22531,119264,42,41,0.00263281459619,0,9,0.057536222162597,0.073123490743225,0.054903407566407,,,,,,,,
2139,Amsterdam,algemeen,1891-06-09,KD72,,G. van Duivenbode,295,1891-06-09,22531,119264,42,42,0.002473504158841,0,9,0.057536222162597,0.073123490743225,0.055062718003756,,,,,,,,
2159,Amsterdam,algemeen,1894-04-10,KD72,,W. Heineken,2460,1894-04-10,23112,82016,32,15,0.029994147483418,0,9,0.064133827545845,0.074948790479906,0.034139680062427,,,,,,,,
2162,Amsterdam,algemeen,1894-04-10,KD72,,E.J.J. Kuinders,1741,1894-04-10,23112,82016,32,18,0.021227565353102,0,9,0.064133827545845,0.074948790479906,0.042906262192743,,,,,,,,
2163,Amsterdam,algemeen,1894-04-10,KD72,,K. Kater,1613,1894-04-10,23112,82016,32,19,0.019666894264534,0,9,0.064133827545845,0.074948790479906,0.044466933281311,,,,,,,,
2166,Amsterdam,algemeen,1894-04-10,KD72,,E.P.F.A. van den Bogaert,1393,1894-04-10,23112,82016,32,22,0.016984490831057,0,9,0.064133827545845,0.074948790479906,0.047149336714787,,,,,,,,
2167,Amsterdam,algemeen,1894-04-10,KD72,,H.L. Lindaal Jacobs,1301,1894-04-10,23112,82016,32,23,0.015862758486149,0,9,0.064133827545845,0.074948790479906,0.048271069059696,,,,,,,,
