"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Dordrecht","13","11","1866","herstemming","2165","1918","1918","3756","74"
"Gorinchem","13","11","1866","herstemming","3009","2128","2129","2104","15"
"Goes","13","11","1866","herstemming","1358","1109","1110","1104","3"
"Groningen","4","12","1866","tussentijds","1463","614","614","613","0"
"Den Haag","2","7","1867","tussentijds","2221","814","814","801","10"
"Assen","11","9","1867","tussentijds","2344","1217","1219","1214","3"
"Assen","25","9","1867","herstemming","2344","1186","1186","1172","12"
"Zuidhorn","22","1","1868","algemeen","1368","602","603","599","1"
"Groningen","22","1","1868","algemeen","1507","835","835","834","0"
"Appingedam","22","1","1868","algemeen","3113","1507","1507","2969","31"
"Winschoten","22","1","1868","algemeen","1193","456","456","454","0"
"Assen","22","1","1868","algemeen","2344","1507","1507","2924","72"
"Leeuwarden","22","1","1868","algemeen","3132","2289","2289","4547","23"
"Sneek","22","1","1868","algemeen","3051","2231","2231","4445","9"
"Dokkum","22","1","1868","algemeen","2460","1774","1774","3513","27"
"Steenwijk","22","1","1868","algemeen","1449","877","877","863","0"
"Zwolle","22","1","1868","algemeen","2739","1716","1716","3376","50"
"Almelo","22","1","1868","algemeen","1974","1616","1618","3180","16"
"Deventer","22","1","1868","algemeen","2719","1841","1842","3657","21"
"Zutphen","22","1","1868","algemeen","2802","2127","2128","4158","74"
"Arnhem","22","1","1868","algemeen","3022","1795","1796","3515","73"
"Nijmegen","22","1","1868","algemeen","2497","1402","1402","2749","39"
"Tiel","22","1","1868","algemeen","1680","1026","1026","1015","10"
"Amersfoort","22","1","1868","algemeen","2874","1510","1511","2964","40"
"Utrecht","22","1","1868","algemeen","3016","1575","1575","3063","79"
"Hoorn","22","1","1868","algemeen","3591","2273","2273","4494","36"
"Alkmaar","22","1","1868","algemeen","3232","2073","2073","4125","11"
"Haarlem","22","1","1868","algemeen","2504","1638","1639","1632","12"
"Amsterdam","22","1","1868","algemeen","4322","2946","2947","17442","222"
"Leiden","22","1","1868","algemeen","2655","1567","1567","3105","25"
"Gouda","22","1","1868","algemeen","3548","2010","2010","3999","21"
"Delft","22","1","1868","algemeen","2842","1969","1970","3864","68"
"Rotterdam","22","1","1868","algemeen","2994","2332","2333","6917","54"
"Den Haag","22","1","1868","algemeen","2221","1287","1287","2520","48"
