,amco,year,name,totaal personele belastingen,total_inhabitants,taxes_percap
394,10069,1859,Doornspijk,1967.0,1928.0,1.0202282157676348
395,10069,1869,Doornspijk,2042.0,2866.0,0.7124912770411723
396,10069,1870,Doornspijk,2111.0,2905.0,0.7266781411359725
397,10069,1879,Doornspijk,2522.0,3091.0,0.8159171789065027
398,10069,1889,Doornspijk,2482.0,1560.5,1.5905158603011855
399,10069,1933,Doornspijk,,4458.0,
400,10069,1934,Doornspijk,,4506.0,
401,10071,1859,Veldhoven,,0.0,
402,10071,1859,Veldhoven En Meerveldhoven,644.0,833.3333333333334,0.7727999999999999
403,10071,1869,Veldhoven,612.0,0.0,
404,10071,1869,Veldhoven En Meerveldhoven,,1305.0,
405,10071,1870,Veldhoven,799.0,0.0,
406,10071,1870,Veldhoven En Meerveldhoven,,1311.0,
407,10071,1879,Veldhoven,,0.0,
408,10071,1879,Veldhoven En Meerveldhoven,921.0,1394.0,0.6606886657101865
409,10071,1889,Veldhoven,990.0,0.0,
410,10071,1889,Veldhoven En Meerveldhoven,,655.0,
411,10071,1933,Veldhoven,,7473.0,
412,10071,1933,Veldhoven En Meerveldhoven,,0.0,
413,10071,1934,Veldhoven,,7600.0,
414,10071,1934,Veldhoven En Meerveldhoven,,0.0,
415,10072,1859,Millingen Aan De Rijn,1328.0,1092.0,1.216117216117216
416,10072,1869,Millingen Aan De Rijn,1597.0,2063.0,0.7741153659718856
417,10072,1870,Millingen Aan De Rijn,1500.0,2120.0,0.7075471698113207
418,10072,1879,Millingen Aan De Rijn,1936.0,2506.0,0.7725458898643256
419,10072,1889,Millingen Aan De Rijn,1931.0,1338.0,1.4431988041853512
420,10072,1933,Millingen Aan De Rijn,,3307.0,
421,10072,1934,Millingen Aan De Rijn,,3332.0,
422,10073,1859,Nieuwe Niedorp,2251.0,813.0,2.768757687576876
423,10073,1869,Nieuwe Niedorp,3008.0,1408.0,2.1363636363636362
424,10073,1870,Nieuwe Niedorp,3350.0,1436.0,2.332869080779944
425,10073,1879,Nieuwe Niedorp,4975.0,1621.0,3.069093152375077
426,10073,1889,Nieuwe Niedorp,4547.0,783.5,5.803446075303127
427,10073,1933,Nieuwe Niedorp,,1733.0,
428,10073,1934,Nieuwe Niedorp,,1733.0,
429,10075,1859,Noord-Scharwoude,907.0,444.3333333333333,2.0412603150787696
430,10075,1869,Noord-Scharwoude,1244.0,783.0,1.5887611749680715
431,10075,1870,Noord-Scharwoude,1313.0,778.0,1.6876606683804627
432,10075,1879,Noord-Scharwoude,1868.0,910.0,2.0527472527472526
433,10075,1889,Noord-Scharwoude,1939.0,498.0,3.893574297188755
434,10075,1933,Noord-Scharwoude,,2030.0,
435,10075,1934,Noord-Scharwoude,,2053.0,
436,10076,1859,Goor,1861.0,1357.3333333333333,1.3710707269155207
437,10076,1869,Goor,2506.0,2218.0,1.1298467087466186
438,10076,1870,Goor,2599.0,2234.0,1.1633840644583706
439,10076,1879,Goor,3113.0,2467.0,1.2618565058775841
440,10076,1889,Goor,3473.0,1423.0,2.4406184118060437
441,10076,1933,Goor,,4134.0,
442,10076,1934,Goor,,4086.0,
443,10077,1859,Kruiningen,2430.0,1039.0,2.3387872954764197
444,10077,1859,Reimerswaal,,0.0,
445,10077,1869,Kruiningen,3009.0,2089.0,1.4404021062709431
446,10077,1869,Reimerswaal,,0.0,
447,10077,1870,Kruiningen,3441.0,2195.0,1.5676537585421413
448,10077,1870,Reimerswaal,,0.0,
449,10077,1879,Kruiningen,3908.0,2519.0,1.5514092894005558
450,10077,1879,Reimerswaal,,0.0,
451,10077,1889,Kruiningen,4249.0,1482.0,2.8670715249662617
452,10077,1889,Reimerswaal,,0.0,
453,10077,1933,Kruiningen,,3982.0,
454,10077,1933,Reimerswaal,,0.0,
455,10077,1934,Kruiningen,,4007.0,
456,10077,1934,Reimerswaal,,0.0,
457,10078,1859,Werkendam,1866.0,1105.6666666666667,1.6876695809466384
458,10078,1869,Werkendam,2096.0,1936.0,1.0826446280991735
459,10078,1870,Werkendam,2606.0,1988.0,1.3108651911468814
460,10078,1879,Werkendam,3142.0,2301.0,1.3654932637983486
461,10078,1889,Werkendam,3444.0,1329.5,2.5904475366679205
462,10078,1933,Werkendam,,3687.0,
463,10078,1934,Werkendam,,3739.0,
