politician,vote,law,date,house,b1_nummer
Dolk,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00325
de Beaufort,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00071
van Wijnbergen,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01583
Goeman Borgesius,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00469
Bos,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00175
Teenstra,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01344
Troelstra,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01376
Limburg,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00822
J. ter Laan,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00772
Spiekman,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01288
van Leeuwen,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00796
Mendels,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00902
Kleerekoper,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00702
Otto,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01009
de Jong,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00655
Hugenholtz,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00615
Schaper,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01189
Albarda,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00011
Roodenburg,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01124
Marchant,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00875
Vliegen,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01451
de Muralt,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00949
Gerhard,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00447
Ketelaar,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00689
